ID,DATETIME,rho,X
100000000,2020-01-01 00:00:00,ENTITY01,87
100000001,2020-01-01 01:00:00,ENTITY01,76
100000002,2020-01-01 02:00:00,ENTITY01,9
100000003,2020-01-01 03:00:00,ENTITY01,50
100000004,2020-01-01 04:00:00,ENTITY01,46
100000005,2020-01-01 05:00:00,ENTITY01,11
100000006,2020-01-01 06:00:00,ENTITY01,78
100000007,2020-01-01 07:00:00,ENTITY01,45
100000008,2020-01-01 08:00:00,ENTITY01,67
100000009,2020-01-01 09:00:00,ENTITY01,18
100000010,2020-01-01 10:00:00,ENTITY01,2
100000011,2020-01-01 11:00:00,ENTITY01,2
100000012,2020-01-01 12:00:00,ENTITY01,84
100000013,2020-01-01 13:00:00,ENTITY01,90
100000014,2020-01-01 14:00:00,ENTITY01,40
100000015,2020-01-01 15:00:00,ENTITY01,37
100000016,2020-01-01 16:00:00,ENTITY01,33
100000017,2020-01-01 17:00:00,ENTITY01,74
100000018,2020-01-01 18:00:00,ENTITY01,19
100000019,2020-01-01 19:00:00,ENTITY01,83
100000020,2020-01-01 20:00:00,ENTITY01,43
100000021,2020-01-01 21:00:00,ENTITY01,23
100000022,2020-01-01 22:00:00,ENTITY01,29
100000023,2020-01-01 23:00:00,ENTITY01,56
100000024,2020-01-02 00:00:00,ENTITY01,11
100000025,2020-01-02 01:00:00,ENTITY01,94
100000026,2020-01-02 02:00:00,ENTITY01,82
100000027,2020-01-02 03:00:00,ENTITY01,51
100000028,2020-01-02 04:00:00,ENTITY01,12
100000029,2020-01-02 05:00:00,ENTITY01,49
100000030,2020-01-02 06:00:00,ENTITY01,71
100000031,2020-01-02 07:00:00,ENTITY01,38
100000032,2020-01-02 08:00:00,ENTITY01,75
100000033,2020-01-02 09:00:00,ENTITY01,60
100000034,2020-01-02 10:00:00,ENTITY01,14
100000035,2020-01-02 11:00:00,ENTITY01,89
100000036,2020-01-02 12:00:00,ENTITY01,45
100000037,2020-01-02 13:00:00,ENTITY01,73
100000038,2020-01-02 14:00:00,ENTITY01,96
100000039,2020-01-02 15:00:00,ENTITY01,9
100000040,2020-01-02 16:00:00,ENTITY01,18
100000041,2020-01-02 17:00:00,ENTITY01,31
100000042,2020-01-02 18:00:00,ENTITY01,21
100000043,2020-01-02 19:00:00,ENTITY01,39
100000044,2020-01-02 20:00:00,ENTITY01,85
100000045,2020-01-02 21:00:00,ENTITY01,57
100000046,2020-01-02 22:00:00,ENTITY01,85
100000047,2020-01-02 23:00:00,ENTITY01,98
100000048,2020-01-03 00:00:00,ENTITY01,3
100000049,2020-01-03 01:00:00,ENTITY01,82
100000050,2020-01-03 02:00:00,ENTITY01,16
100000051,2020-01-03 03:00:00,ENTITY01,62
100000052,2020-01-03 04:00:00,ENTITY01,29
100000053,2020-01-03 05:00:00,ENTITY01,74
100000054,2020-01-03 06:00:00,ENTITY01,36
100000055,2020-01-03 07:00:00,ENTITY01,79
100000056,2020-01-03 08:00:00,ENTITY01,57
100000057,2020-01-03 09:00:00,ENTITY01,58
100000058,2020-01-03 10:00:00,ENTITY01,39
